

---------
NEXT RUN
---------
 3000: 	G_loss: 13.0736	D_loss: 0.0831	Cycle_loss: 0.8134	Identity_loss:0.7123	A2B_loss: 0.3930	B2A_loss: 0.9854	d_A_loss: 0.0001	d_B_loss: 0.1661
 3100: 	G_loss: 12.0973	D_loss: 0.0825	Cycle_loss: 0.7266	Identity_loss:0.6747	A2B_loss: 0.4716	B2A_loss: 0.9863	d_A_loss: 0.0001	d_B_loss: 0.1649
 3200: 	G_loss: 10.5263	D_loss: 0.0843	Cycle_loss: 0.6367	Identity_loss:0.5657	A2B_loss: 0.3435	B2A_loss: 0.9868	d_A_loss: 0.0001	d_B_loss: 0.1685
 3300: 	G_loss: 10.4090	D_loss: 0.1006	Cycle_loss: 0.6150	Identity_loss:0.5632	A2B_loss: 0.4638	B2A_loss: 0.9791	d_A_loss: 0.0002	d_B_loss: 0.2011
 3400: 	G_loss: 10.9955	D_loss: 0.0969	Cycle_loss: 0.6659	Identity_loss:0.5870	A2B_loss: 0.4183	B2A_loss: 0.9829	d_A_loss: 0.0007	d_B_loss: 0.1931
 3500: 	G_loss: 11.3078	D_loss: 0.0643	Cycle_loss: 0.6806	Identity_loss:0.6087	A2B_loss: 0.4744	B2A_loss: 0.9838	d_A_loss: 0.0002	d_B_loss: 0.1284
 3600: 	G_loss: 11.4956	D_loss: 0.0802	Cycle_loss: 0.6888	Identity_loss:0.6132	A2B_loss: 0.5559	B2A_loss: 0.9857	d_A_loss: 0.0001	d_B_loss: 0.1604
 3700: 	G_loss: 11.5572	D_loss: 0.0678	Cycle_loss: 0.6987	Identity_loss:0.6199	A2B_loss: 0.4824	B2A_loss: 0.9882	d_A_loss: 0.0001	d_B_loss: 0.1356
 3800: 	G_loss: 12.1475	D_loss: 0.0617	Cycle_loss: 0.7252	Identity_loss:0.6551	A2B_loss: 0.6325	B2A_loss: 0.9879	d_A_loss: 0.0001	d_B_loss: 0.1233
 3900: 	G_loss: 10.9983	D_loss: 0.0802	Cycle_loss: 0.6532	Identity_loss:0.5960	A2B_loss: 0.4969	B2A_loss: 0.9891	d_A_loss: 0.0001	d_B_loss: 0.1604
 4000: 	G_loss: 11.0919	D_loss: 0.0862	Cycle_loss: 0.6569	Identity_loss:0.6022	A2B_loss: 0.5208	B2A_loss: 0.9914	d_A_loss: 0.0000	d_B_loss: 0.1724
 4100: 	G_loss: 12.9552	D_loss: 0.0644	Cycle_loss: 0.7531	Identity_loss:0.7411	A2B_loss: 0.7297	B2A_loss: 0.9890	d_A_loss: 0.0001	d_B_loss: 0.1287
 4200: 	G_loss: 10.3458	D_loss: 0.0808	Cycle_loss: 0.6033	Identity_loss:0.5439	A2B_loss: 0.6038	B2A_loss: 0.9896	d_A_loss: 0.0000	d_B_loss: 0.1615
 4300: 	G_loss: 10.2854	D_loss: 0.0965	Cycle_loss: 0.6128	Identity_loss:0.5465	A2B_loss: 0.4344	B2A_loss: 0.9909	d_A_loss: 0.0000	d_B_loss: 0.1930
 4400: 	G_loss: 11.1417	D_loss: 0.0825	Cycle_loss: 0.6708	Identity_loss:0.6046	A2B_loss: 0.4192	B2A_loss: 0.9914	d_A_loss: 0.0000	d_B_loss: 0.1650
 4500: 	G_loss: 11.5915	D_loss: 0.0671	Cycle_loss: 0.6805	Identity_loss:0.6229	A2B_loss: 0.6794	B2A_loss: 0.9928	d_A_loss: 0.0000	d_B_loss: 0.1342
 4600: 	G_loss: 10.1192	D_loss: 0.0872	Cycle_loss: 0.5917	Identity_loss:0.5385	A2B_loss: 0.5169	B2A_loss: 0.9927	d_A_loss: 0.0000	d_B_loss: 0.1744
 4700: 	G_loss: 10.5377	D_loss: 0.0410	Cycle_loss: 0.6125	Identity_loss:0.5470	A2B_loss: 0.6845	B2A_loss: 0.9934	d_A_loss: 0.0000	d_B_loss: 0.0819
 4800: 	G_loss: 10.4798	D_loss: 0.0711	Cycle_loss: 0.6162	Identity_loss:0.5445	A2B_loss: 0.6023	B2A_loss: 0.9933	d_A_loss: 0.0000	d_B_loss: 0.1421
 4900: 	G_loss: 10.7014	D_loss: 0.0865	Cycle_loss: 0.6338	Identity_loss:0.5642	A2B_loss: 0.5506	B2A_loss: 0.9921	d_A_loss: 0.0000	d_B_loss: 0.1730
 5000: 	G_loss: 10.3159	D_loss: 0.0604	Cycle_loss: 0.6043	Identity_loss:0.5395	A2B_loss: 0.5807	B2A_loss: 0.9944	d_A_loss: 0.0000	d_B_loss: 0.1208
 5100: 	G_loss: 9.8069	D_loss: 0.0725	Cycle_loss: 0.5707	Identity_loss:0.5048	A2B_loss: 0.5814	B2A_loss: 0.9945	d_A_loss: 0.0001	d_B_loss: 0.1450
