,0
0,0.25912288
1,0.26103508
2,0.23461446
3,0.20649332
4,0.17318313
5,0.14326939
6,0.12687168
7,0.111930944
8,0.10578659
9,0.09357853
10,0.091446996
11,0.087378465
12,0.08434766
13,0.08555949
14,0.07931904
15,0.07776918
16,0.075578034
17,0.078004494
18,0.076426625
19,0.076009795
20,0.07235956
21,0.070117205
22,0.066923305
23,0.06542759
24,0.063926876
25,0.0621894
26,0.061286464
27,0.060489673
28,0.059946593
29,0.05955071
30,0.059398755
31,0.059173964
32,0.059240915
33,0.06018925
34,0.059802607
35,0.061234668
36,0.066489786
37,0.08048315
38,0.09448753
39,0.08356637
40,0.06746343
41,0.065217055
42,0.0686675
43,0.07275027
44,0.08189522
45,0.07562475
46,0.06965065
47,0.062428705
48,0.059610646
49,0.058334537
50,0.057359964
51,0.057204433
52,0.056758374
53,0.05688841
54,0.05659511
55,0.056733575
56,0.056984648
57,0.057260316
58,0.05775454
59,0.058437876
60,0.06523601
61,0.07439778
62,0.07923577
63,0.0707572
64,0.06456091
65,0.061862037
66,0.05959709
67,0.05801895
68,0.057331957
69,0.056567706
70,0.0561478
71,0.05599156
72,0.0559793
73,0.056410626
74,0.05630974
75,0.05678474
76,0.056885213
77,0.058457382
78,0.05916739
79,0.06973877
80,0.08609901
81,0.10384034
82,0.08186871
83,0.08419807
84,0.10665562
85,0.10457507
86,0.09061961
87,0.07680757
88,0.07591708
89,0.07562564
90,0.07284633
91,0.06986261
92,0.06757664
93,0.06430453
94,0.06491375
95,0.06417924
96,0.07229322
97,0.0947077
98,0.11276902
99,0.10807409
100,0.0997064
101,0.082418755
102,0.077071816
103,0.07155785
104,0.0692665
105,0.07207454
106,0.0710756
107,0.07578866
108,0.07291275
109,0.0704129
110,0.07312201
111,0.0740207
112,0.08078031
113,0.08105121
114,0.08130682
115,0.08590237
116,0.08680384
117,0.0763865
118,0.07294167
119,0.076008186
120,0.07241029
121,0.07057763
122,0.065638274
123,0.06228055
124,0.062408276
125,0.06300347
126,0.06301632
127,0.0639437
128,0.06595192
129,0.074598014
130,0.098794535
131,0.101863384
132,0.12013984
133,0.12571111
134,0.12116562
135,0.10346183
136,0.08376595
137,0.076908596
138,0.072040215
139,0.069782585
140,0.06766988
141,0.063743286
142,0.063116156
143,0.0634394
144,0.06401855
145,0.06693286
146,0.06861782
147,0.07313123
148,0.06909347
149,0.07920331
150,0.07066353
151,0.0684142
152,0.06425599
153,0.063433714
154,0.0630198
155,0.0632215
156,0.06259817
157,0.06332461
158,0.06382064
159,0.063970804
160,0.06445286
161,0.06893797
162,0.093913294
163,0.10118381
164,0.11436728
165,0.103470005
166,0.09868924
167,0.09574404
168,0.07773843
169,0.06827595
170,0.06702623
171,0.06547944
172,0.065443195
173,0.06488742
174,0.06756605
175,0.064294204
176,0.07582171
177,0.102058716
178,0.11955369
179,0.12720022
180,0.10548663
181,0.09756487
182,0.09915517
183,0.08838288
184,0.08068852
185,0.07503198
186,0.067083254
187,0.06902758
188,0.06803714
189,0.06890266
190,0.0811455
191,0.0949147
192,0.1262841
193,0.10173346
194,0.0882548
195,0.090688735
196,0.08940522
197,0.10976088
198,0.10836719
199,0.1499328
200,0.21029109
201,0.1319403
202,0.11805335
203,0.09276238
204,0.078786924
205,0.074593686
206,0.07330276
207,0.07303937
208,0.072912805
209,0.07390469
210,0.07663243
211,0.07950384
212,0.07774583
213,0.07547535
214,0.07612248
215,0.07620294
216,0.07202853
217,0.073206194
218,0.07725388
219,0.08254445
220,0.09995837
221,0.112606116
222,0.18683542
223,0.15106162
224,0.11145862
225,0.0923046
226,0.088058144
227,0.0873858
228,0.08592107
229,0.08306807
230,0.0840971
231,0.08880322
232,0.101247504
233,0.10495073
234,0.09084046
235,0.07941252
236,0.0798443
237,0.077735126
238,0.07559907
239,0.07698454
240,0.09156956
241,0.08018401
242,0.07523274
243,0.07149111
244,0.06949336
245,0.06833638
246,0.06785816
247,0.06778082
248,0.068304226
249,0.06827757
250,0.06902267
251,0.07169232
252,0.07388728
253,0.0763077
