,0
0,0.2547682
1,0.25635684
2,0.23099434
3,0.18978213
4,0.15575354
5,0.13168296
6,0.11658751
7,0.10886844
8,0.09599938
9,0.083824374
10,0.078741446
11,0.074791946
12,0.07240915
13,0.0705812
14,0.06803822
15,0.066749774
16,0.06529647
17,0.064368434
18,0.06385334
19,0.063242525
20,0.06259048
21,0.06189232
22,0.06180209
23,0.06205166
24,0.061073206
25,0.06068279
26,0.060191434
27,0.06006672
28,0.05981896
29,0.059611067
30,0.05989889
31,0.06219133
32,0.06619223
33,0.079930946
34,0.09424494
35,0.091547236
36,0.09347542
37,0.11005132
38,0.08825851
39,0.07571144
40,0.0723723
41,0.06564052
42,0.060984194
43,0.05924649
44,0.05831242
45,0.057733804
46,0.05731506
47,0.05726987
48,0.056733556
49,0.056795027
50,0.057032444
51,0.058059584
52,0.057618488
53,0.0585175
54,0.05794778
55,0.058255237
56,0.05740453
57,0.05718404
58,0.056797206
59,0.057158586
60,0.05702176
61,0.057708036
62,0.05725006
63,0.05853013
64,0.06239988
65,0.074328095
66,0.10855253
67,0.14335722
68,0.12412613
69,0.11655757
70,0.10478119
71,0.08353805
72,0.07167019
73,0.07259849
74,0.06707122
75,0.06645087
76,0.0645948
77,0.06472328
78,0.06692462
79,0.06547433
80,0.064668335
81,0.07118546
82,0.08516508
83,0.14535487
84,0.2137162
85,0.19001561
86,0.18952775
87,0.1575613
88,0.12995441
89,0.10957523
90,0.090974115
91,0.08004351
92,0.07820014
93,0.07438041
94,0.072627746
95,0.07217653
96,0.07219247
97,0.07207525
98,0.071431495
99,0.069599375
100,0.06987097
101,0.07249806
102,0.072331235
103,0.07373017
104,0.078183606
105,0.07724925
106,0.07540797
107,0.0761925
108,0.07865916
109,0.07797169
110,0.08446267
111,0.0914754
112,0.10576849
113,0.10946553
114,0.09914861
115,0.08344571
116,0.07819797
117,0.073888265
118,0.07325211
119,0.07155079
120,0.07020581
121,0.069119126
122,0.068924114
123,0.07035891
124,0.071629375
125,0.0790266
126,0.08412118
127,0.09807108
128,0.11400833
129,0.12439714
130,0.1218601
131,0.116515845
132,0.09915574
133,0.08887586
134,0.08439864
135,0.07849813
136,0.07468702
137,0.07366732
138,0.072589844
139,0.07291445
140,0.07261081
141,0.07291198
142,0.07459972
143,0.077730305
144,0.0948856
145,0.13123457
146,0.12984204
147,0.112036645
148,0.096648276
149,0.089817025
150,0.08203842
151,0.08703996
152,0.09208231
153,0.10896481
154,0.12411138
155,0.09686877
156,0.09048148
157,0.09072731
158,0.08675937
159,0.08389413
160,0.08303094
161,0.089944676
162,0.09485262
163,0.11170918
164,0.13097045
165,0.122499496
166,0.11655137
167,0.105547845
168,0.09623441
169,0.09350738
170,0.08835693
171,0.084969714
172,0.08624074
173,0.097377926
174,0.10288414
175,0.095940605
176,0.08171332
177,0.0764341
178,0.0738217
179,0.073430866
180,0.07290582
181,0.07406482
182,0.07464179
183,0.08045815
184,0.08628867
185,0.11382872
186,0.13034986
187,0.11966205
188,0.10308628
189,0.09226022
190,0.086930364
191,0.084407605
192,0.08173153
193,0.082603216
194,0.08127175
195,0.08293174
196,0.08861115
197,0.09316768
198,0.09093328
199,0.07970269
200,0.0769595
201,0.078562856
202,0.07520808
203,0.0729658
204,0.07360178
205,0.07275355
206,0.073693395
207,0.07767622
208,0.08126309
209,0.09600962
210,0.11491093
211,0.14049149
212,0.14863768
213,0.12256001
214,0.10602763
215,0.09210503
216,0.07968041
217,0.07709354
218,0.07588339
219,0.07700048
220,0.07437466
221,0.0741978
222,0.076214075
223,0.07384665
224,0.07483996
225,0.07554536
226,0.07592494
227,0.07221692
228,0.0715804
229,0.07082987
230,0.07172409
231,0.0720872
232,0.07257497
233,0.07303228
234,0.07228452
235,0.07250529
236,0.07307162
237,0.07346594
238,0.07932955
239,0.08891106
240,0.090798475
241,0.08582735
242,0.083482
243,0.0808132
244,0.07839189
245,0.08166507
246,0.086365834
247,0.09140112
248,0.09165745
249,0.09782486
250,0.10412532
251,0.1284972
252,0.11809535
253,0.10313749
254,0.09450036
255,0.08852002
256,0.10328746
257,0.10778816
258,0.10629193
259,0.079491794
260,0.074137606
