

---------
NEXT RUN
---------
 1800: 	G_loss: 13.8349	D_loss: 0.2326	Cycle_loss: 8.4232	Identity_loss:3.8126	A2B_loss: 0.6166	B2A_loss: 0.9825	d_A_loss: 0.0002	d_B_loss: 0.4649
 1900: 	G_loss: 14.4585	D_loss: 0.1247	Cycle_loss: 8.7894	Identity_loss:4.0434	A2B_loss: 0.6414	B2A_loss: 0.9843	d_A_loss: 0.0002	d_B_loss: 0.2491
 2000: 	G_loss: 13.9277	D_loss: 0.1050	Cycle_loss: 8.5682	Identity_loss:3.8251	A2B_loss: 0.5485	B2A_loss: 0.9858	d_A_loss: 0.0002	d_B_loss: 0.2099
 2100: 	G_loss: 15.2393	D_loss: 0.2260	Cycle_loss: 9.4891	Identity_loss:4.2390	A2B_loss: 0.5274	B2A_loss: 0.9838	d_A_loss: 0.0002	d_B_loss: 0.4518
 2200: 	G_loss: 12.9126	D_loss: 0.1859	Cycle_loss: 8.0000	Identity_loss:3.5247	A2B_loss: 0.4587	B2A_loss: 0.9292	d_A_loss: 0.0244	d_B_loss: 0.3475
 2300: 	G_loss: 13.3133	D_loss: 0.2164	Cycle_loss: 8.2193	Identity_loss:3.6734	A2B_loss: 0.4636	B2A_loss: 0.9570	d_A_loss: 0.0024	d_B_loss: 0.4303
 2400: 	G_loss: 13.2848	D_loss: 0.2460	Cycle_loss: 8.3049	Identity_loss:3.6829	A2B_loss: 0.3314	B2A_loss: 0.9656	d_A_loss: 0.0010	d_B_loss: 0.4910
 2500: 	G_loss: 13.2011	D_loss: 0.1665	Cycle_loss: 8.0174	Identity_loss:3.6676	A2B_loss: 0.5422	B2A_loss: 0.9739	d_A_loss: 0.0014	d_B_loss: 0.3316
 2600: 	G_loss: 12.4253	D_loss: 0.1163	Cycle_loss: 7.4568	Identity_loss:3.3377	A2B_loss: 0.6526	B2A_loss: 0.9781	d_A_loss: 0.0006	d_B_loss: 0.2320
 2700: 	G_loss: 13.1266	D_loss: 0.1245	Cycle_loss: 7.9114	Identity_loss:3.6099	A2B_loss: 0.6268	B2A_loss: 0.9785	d_A_loss: 0.0005	d_B_loss: 0.2485
 2800: 	G_loss: 12.4300	D_loss: 0.2732	Cycle_loss: 7.5839	Identity_loss:3.4843	A2B_loss: 0.3783	B2A_loss: 0.9835	d_A_loss: 0.0003	d_B_loss: 0.5461
 2900: 	G_loss: 12.0045	D_loss: 0.1841	Cycle_loss: 7.3258	Identity_loss:3.2315	A2B_loss: 0.4631	B2A_loss: 0.9840	d_A_loss: 0.0002	d_B_loss: 0.3679
 3000: 	G_loss: 12.3559	D_loss: 0.1847	Cycle_loss: 7.5293	Identity_loss:3.3505	A2B_loss: 0.4961	B2A_loss: 0.9801	d_A_loss: 0.0004	d_B_loss: 0.3689
 3100: 	G_loss: 12.0647	D_loss: 0.1832	Cycle_loss: 7.2137	Identity_loss:3.3182	A2B_loss: 0.5489	B2A_loss: 0.9839	d_A_loss: 0.0002	d_B_loss: 0.3661
 3200: 	G_loss: 11.9371	D_loss: 0.2214	Cycle_loss: 7.2257	Identity_loss:3.3229	A2B_loss: 0.4035	B2A_loss: 0.9849	d_A_loss: 0.0003	d_B_loss: 0.4425
 3300: 	G_loss: 11.5331	D_loss: 0.1418	Cycle_loss: 6.8399	Identity_loss:3.1363	A2B_loss: 0.5700	B2A_loss: 0.9868	d_A_loss: 0.0001	d_B_loss: 0.2835
 3400: 	G_loss: 11.9228	D_loss: 0.1502	Cycle_loss: 7.1082	Identity_loss:3.2536	A2B_loss: 0.5732	B2A_loss: 0.9879	d_A_loss: 0.0002	d_B_loss: 0.3001
 3500: 	G_loss: 11.5896	D_loss: 0.1488	Cycle_loss: 6.8716	Identity_loss:3.1407	A2B_loss: 0.5897	B2A_loss: 0.9876	d_A_loss: 0.0001	d_B_loss: 0.2975
 3600: 	G_loss: 11.5671	D_loss: 0.0982	Cycle_loss: 6.8046	Identity_loss:3.1632	A2B_loss: 0.6115	B2A_loss: 0.9878	d_A_loss: 0.0001	d_B_loss: 0.1963
 3700: 	G_loss: 12.0335	D_loss: 0.1354	Cycle_loss: 7.2533	Identity_loss:3.2474	A2B_loss: 0.5449	B2A_loss: 0.9880	d_A_loss: 0.0001	d_B_loss: 0.2707
 3800: 	G_loss: 10.9196	D_loss: 0.1150	Cycle_loss: 6.4860	Identity_loss:2.9144	A2B_loss: 0.5607	B2A_loss: 0.9585	d_A_loss: 0.0017	d_B_loss: 0.2284
 3900: 	G_loss: 10.2277	D_loss: 0.1741	Cycle_loss: 6.0867	Identity_loss:2.6607	A2B_loss: 0.4968	B2A_loss: 0.9835	d_A_loss: 0.0017	d_B_loss: 0.3464
 4000: 	G_loss: 11.3493	D_loss: 0.1266	Cycle_loss: 6.7414	Identity_loss:3.0275	A2B_loss: 0.5912	B2A_loss: 0.9891	d_A_loss: 0.0001	d_B_loss: 0.2530
 4100: 	G_loss: 12.2223	D_loss: 0.1291	Cycle_loss: 7.3297	Identity_loss:3.2715	A2B_loss: 0.6311	B2A_loss: 0.9900	d_A_loss: 0.0001	d_B_loss: 0.2582
 4200: 	G_loss: 11.6104	D_loss: 0.1319	Cycle_loss: 6.8947	Identity_loss:3.1602	A2B_loss: 0.5645	B2A_loss: 0.9910	d_A_loss: 0.0001	d_B_loss: 0.2637
 4300: 	G_loss: 10.6237	D_loss: 0.0917	Cycle_loss: 6.1754	Identity_loss:2.8456	A2B_loss: 0.6125	B2A_loss: 0.9902	d_A_loss: 0.0001	d_B_loss: 0.1834
 4400: 	G_loss: 11.4943	D_loss: 0.1926	Cycle_loss: 6.7496	Identity_loss:3.1512	A2B_loss: 0.6020	B2A_loss: 0.9914	d_A_loss: 0.0001	d_B_loss: 0.3852
 4500: 	G_loss: 11.6907	D_loss: 0.1910	Cycle_loss: 6.9886	Identity_loss:3.2001	A2B_loss: 0.5231	B2A_loss: 0.9790	d_A_loss: 0.0011	d_B_loss: 0.3808
 4600: 	G_loss: 10.4945	D_loss: 0.2110	Cycle_loss: 6.3053	Identity_loss:2.7897	A2B_loss: 0.4222	B2A_loss: 0.9773	d_A_loss: 0.0009	d_B_loss: 0.4211
 4700: 	G_loss: 10.5332	D_loss: 0.2396	Cycle_loss: 6.2293	Identity_loss:2.8025	A2B_loss: 0.5155	B2A_loss: 0.9859	d_A_loss: 0.0002	d_B_loss: 0.4790
 4800: 	G_loss: 11.1823	D_loss: 0.1994	Cycle_loss: 6.6459	Identity_loss:3.0444	A2B_loss: 0.5038	B2A_loss: 0.9882	d_A_loss: 0.0002	d_B_loss: 0.3986
 4900: 	G_loss: 11.4792	D_loss: 0.1733	Cycle_loss: 6.7885	Identity_loss:3.1351	A2B_loss: 0.5651	B2A_loss: 0.9905	d_A_loss: 0.0002	d_B_loss: 0.3463
 5000: 	G_loss: 10.4172	D_loss: 0.1935	Cycle_loss: 6.1506	Identity_loss:2.7436	A2B_loss: 0.5333	B2A_loss: 0.9896	d_A_loss: 0.0002	d_B_loss: 0.3868
 5100: 	G_loss: 10.9479	D_loss: 0.0959	Cycle_loss: 6.4061	Identity_loss:2.8828	A2B_loss: 0.6678	B2A_loss: 0.9911	d_A_loss: 0.0001	d_B_loss: 0.1917
 5200: 	G_loss: 11.2214	D_loss: 0.1601	Cycle_loss: 6.7207	Identity_loss:3.0400	A2B_loss: 0.4796	B2A_loss: 0.9812	d_A_loss: 0.0003	d_B_loss: 0.3199
 5300: 	G_loss: 10.8351	D_loss: 0.1115	Cycle_loss: 6.3986	Identity_loss:2.7988	A2B_loss: 0.6460	B2A_loss: 0.9917	d_A_loss: 0.0002	d_B_loss: 0.2229
 5400: 	G_loss: 9.7447	D_loss: 0.2068	Cycle_loss: 5.6664	Identity_loss:2.5172	A2B_loss: 0.5700	B2A_loss: 0.9912	d_A_loss: 0.0001	d_B_loss: 0.4135
 5500: 	G_loss: 10.5320	D_loss: 0.1257	Cycle_loss: 6.1869	Identity_loss:2.7799	A2B_loss: 0.5729	B2A_loss: 0.9923	d_A_loss: 0.0000	d_B_loss: 0.2513
 5600: 	G_loss: 10.2896	D_loss: 0.1401	Cycle_loss: 6.0235	Identity_loss:2.6735	A2B_loss: 0.6012	B2A_loss: 0.9915	d_A_loss: 0.0001	d_B_loss: 0.2800
 5700: 	G_loss: 11.0545	D_loss: 0.1213	Cycle_loss: 6.4670	Identity_loss:2.9769	A2B_loss: 0.6171	B2A_loss: 0.9935	d_A_loss: 0.0003	d_B_loss: 0.2423
 5800: 	G_loss: 10.8162	D_loss: 0.0578	Cycle_loss: 6.1471	Identity_loss:2.9524	A2B_loss: 0.7227	B2A_loss: 0.9941	d_A_loss: 0.0001	d_B_loss: 0.1154
 5900: 	G_loss: 9.7022	D_loss: 0.1080	Cycle_loss: 5.6174	Identity_loss:2.5084	A2B_loss: 0.5827	B2A_loss: 0.9937	d_A_loss: 0.0000	d_B_loss: 0.2159
 6000: 	G_loss: 9.3842	D_loss: 0.1295	Cycle_loss: 5.4277	Identity_loss:2.3971	A2B_loss: 0.5675	B2A_loss: 0.9918	d_A_loss: 0.0001	d_B_loss: 0.2590
 6100: 	G_loss: 10.4728	D_loss: 0.0998	Cycle_loss: 6.0863	Identity_loss:2.7408	A2B_loss: 0.6515	B2A_loss: 0.9942	d_A_loss: 0.0000	d_B_loss: 0.1996
 6200: 	G_loss: 10.5418	D_loss: 0.1558	Cycle_loss: 6.1581	Identity_loss:2.8561	A2B_loss: 0.5329	B2A_loss: 0.9947	d_A_loss: 0.0000	d_B_loss: 0.3116
 6300: 	G_loss: 9.5154	D_loss: 0.1271	Cycle_loss: 5.5288	Identity_loss:2.3775	A2B_loss: 0.6197	B2A_loss: 0.9894	d_A_loss: 0.0001	d_B_loss: 0.2542
 6400: 	G_loss: 10.3877	D_loss: 0.1022	Cycle_loss: 5.9937	Identity_loss:2.7552	A2B_loss: 0.6444	B2A_loss: 0.9944	d_A_loss: 0.0000	d_B_loss: 0.2043
 6500: 	G_loss: 11.0784	D_loss: 0.1357	Cycle_loss: 6.4498	Identity_loss:2.9362	A2B_loss: 0.6988	B2A_loss: 0.9935	d_A_loss: 0.0000	d_B_loss: 0.2714
 6600: 	G_loss: 9.9419	D_loss: 0.1229	Cycle_loss: 5.7374	Identity_loss:2.6092	A2B_loss: 0.6004	B2A_loss: 0.9949	d_A_loss: 0.0000	d_B_loss: 0.2457
 6700: 	G_loss: 9.7658	D_loss: 0.1196	Cycle_loss: 5.5524	Identity_loss:2.5472	A2B_loss: 0.6727	B2A_loss: 0.9934	d_A_loss: 0.0000	d_B_loss: 0.2391
 6800: 	G_loss: 9.5943	D_loss: 0.0985	Cycle_loss: 5.4680	Identity_loss:2.5185	A2B_loss: 0.6130	B2A_loss: 0.9948	d_A_loss: 0.0000	d_B_loss: 0.1969
 6900: 	G_loss: 11.0909	D_loss: 0.1176	Cycle_loss: 6.5044	Identity_loss:2.9434	A2B_loss: 0.6479	B2A_loss: 0.9951	d_A_loss: 0.0000	d_B_loss: 0.2351
 7000: 	G_loss: 9.2265	D_loss: 0.1450	Cycle_loss: 5.2399	Identity_loss:2.3708	A2B_loss: 0.6209	B2A_loss: 0.9949	d_A_loss: 0.0000	d_B_loss: 0.2899
 7100: 	G_loss: 9.4907	D_loss: 0.1172	Cycle_loss: 5.3890	Identity_loss:2.4519	A2B_loss: 0.6544	B2A_loss: 0.9955	d_A_loss: 0.0000	d_B_loss: 0.2345
 7200: 	G_loss: 11.0977	D_loss: 0.1417	Cycle_loss: 6.4680	Identity_loss:3.0299	A2B_loss: 0.6048	B2A_loss: 0.9950	d_A_loss: 0.0000	d_B_loss: 0.2834
 7300: 	G_loss: 11.0684	D_loss: 0.0703	Cycle_loss: 6.4649	Identity_loss:2.9193	A2B_loss: 0.6886	B2A_loss: 0.9956	d_A_loss: 0.0000	d_B_loss: 0.1406
 7400: 	G_loss: 11.2308	D_loss: 0.1032	Cycle_loss: 6.5749	Identity_loss:3.0427	A2B_loss: 0.6180	B2A_loss: 0.9952	d_A_loss: 0.0000	d_B_loss: 0.2064
 7500: 	G_loss: 9.9563	D_loss: 0.1642	Cycle_loss: 5.7259	Identity_loss:2.5924	A2B_loss: 0.6528	B2A_loss: 0.9851	d_A_loss: 0.0023	d_B_loss: 0.3261
 7600: 	G_loss: 8.9264	D_loss: 0.0904	Cycle_loss: 5.0155	Identity_loss:2.2942	A2B_loss: 0.6303	B2A_loss: 0.9864	d_A_loss: 0.0004	d_B_loss: 0.1805
 7700: 	G_loss: 10.0052	D_loss: 0.1359	Cycle_loss: 5.7296	Identity_loss:2.6581	A2B_loss: 0.6259	B2A_loss: 0.9917	d_A_loss: 0.0001	d_B_loss: 0.2716
 7800: 	G_loss: 11.3723	D_loss: 0.1180	Cycle_loss: 6.6131	Identity_loss:3.1112	A2B_loss: 0.6544	B2A_loss: 0.9937	d_A_loss: 0.0000	d_B_loss: 0.2359
 7900: 	G_loss: 9.3540	D_loss: 0.1381	Cycle_loss: 5.2604	Identity_loss:2.4433	A2B_loss: 0.6588	B2A_loss: 0.9915	d_A_loss: 0.0001	d_B_loss: 0.2762
 8000: 	G_loss: 10.4129	D_loss: 0.0975	Cycle_loss: 5.9943	Identity_loss:2.7298	A2B_loss: 0.6956	B2A_loss: 0.9932	d_A_loss: 0.0001	d_B_loss: 0.1950
 8100: 	G_loss: 9.9716	D_loss: 0.1192	Cycle_loss: 5.7316	Identity_loss:2.6042	A2B_loss: 0.6429	B2A_loss: 0.9929	d_A_loss: 0.0001	d_B_loss: 0.2383
